algorithm,depth,runtime_p50_ns,runtime_p90_ns,runtime_p99_ns,visited_p50,visited_p90,visited_p99
uniform_grid,2,"8,667","12,709","20,129",3,5,7
uniform_grid,3,"12,375","21,250","30,417",5,10,13
uniform_grid,4,"20,416","37,583","53,500",9,19,26
uniform_grid,5,"36,542","71,500","101,375",18,38,51
uniform_grid,6,"69,980","142,296","206,421",35,75,101
uniform_grid,7,"134,521","282,133","396,668",71,149,201
uniform_grid,8,"275,104","603,021","913,238",140,297,402
quadtree,2,"32,125","44,166","78,756",3,5,7
quadtree,3,"53,625","92,458","131,875",5,10,13
quadtree,4,"105,083","190,213","261,842",9,19,26
quadtree,5,"198,833","388,295","534,711",18,38,51
quadtree,6,"389,084","791,821","1,079,544",35,75,101
quadtree,7,"772,166","1,598,796","2,177,866",71,149,201
quadtree,8,"1,534,000","3,241,333","4,487,628",140,297,402
